region_code,region,ward_code,ward,district_code,district,municipality_code,municipality,precinct,voters_eligible,ballots_given_out,voter_turnout_pct,voted_in_person,voted_in_person_pct,voted_by_mail,voted_by_mail_pct,ballots_valid,ballots_valid_pct,ballots_valid_tip,ballots_valid_pct_tip,ballots_preferential_tip,ballots_preferential_pct_tip,ballots_valid_sms,ballots_valid_pct_sms,ballots_preferential_sms,ballots_preferential_pct_sms,ballots_valid_olano,ballots_valid_pct_olano,ballots_preferential_olano,ballots_preferential_pct_olano,ballots_valid_kanik,ballots_valid_pct_kanik,ballots_preferential_kanik,ballots_preferential_pct_kanik,ballots_valid_sanca,ballots_valid_pct_sanca,ballots_preferential_sanca,ballots_preferential_pct_sanca,ballots_valid_kollar,ballots_valid_pct_kollar,ballots_preferential_kollar,ballots_preferential_pct_kollar,ballots_valid_szs,ballots_valid_pct_szs,ballots_preferential_szs,ballots_preferential_pct_szs,ballots_valid_spolocne,ballots_valid_pct_spolocne,ballots_preferential_spolocne,ballots_preferential_pct_spolocn,ballots_valid_mkda,ballots_valid_pct_mkda,ballots_preferential_mkda,ballots_preferential_pct_mkds,ballots_valid_vzdor,ballots_valid_pct_vzdor,ballots_preferential_vzdor,ballots_preferential_pct_vzdor,ballots_valid_most,ballots_valid_pct_most,ballots_preferential_most,ballots_preferential_pct_most,ballots_valid_sns,ballots_valid_pct_sns,ballots_preferential_sns,ballots_preferential_pct_sns,ballots_valid_odvaha,ballots_valid_pct_odvaha,ballots_preferential_odvaha,ballots_preferential_pct_odvaha,ballots_valid_kss,ballots_valid_pct_kss,ballots_preferential_kss,ballots_preferential_pct_kss,ballots_valid_sdku,ballots_valid_pct_sdku,ballots_preferential_sdku,ballots_preferential_pct_sdku,ballots_valid_smer,ballots_valid_pct_smer,ballots_preferential_smer,ballots_preferential_pct_smer,ballots_valid_kdh,ballots_valid_pct_kdh,ballots_preferential_kdh,ballots_preferential_pct_kdh,ballots_valid_skok,ballots_valid_pct_skok,ballots_preferential_skok,ballots_preferential_pct_skok,ballots_valid_lsns,ballots_valid_pct_lsns,ballots_preferential_lsns,ballots_preferential_pct_lsns,ballots_valid_siet,ballots_valid_pct_siet,ballots_preferential_siet,ballots_preferential_pct_siet,ballots_valid_smk,ballots_valid_pct_smk,ballots_preferential_smk,ballots_preferential_pct_smk,ballots_valid_pd,ballots_valid_pct_pd,ballots_preferential_pd,ballots_preferential_pct_pd,ballots_valid_sas,ballots_valid_pct_sas,ballots_preferential_sas,ballots_preferential_pct_sas
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525642,"Drnava","Drnava 01",542,285,52.58,282,98.94,3,1.05,271,95.08,10,3.69,10,100,1,.36,1,100,19,7.01,11,57.89,0,0,0,0,0,0,0,0,2,.73,1,50,2,.73,2,100,1,.36,0,0,0,0,0,0,0,0,0,0,90,33.21,87,96.66,1,.36,1,100,0,0,0,0,1,.36,1,100,1,.36,1,100,23,8.48,18,78.26,5,1.84,5,100,0,0,0,0,41,15.12,39,95.12,5,1.84,3,60,58,21.4,51,87.93,0,0,0,0,11,4.05,9,81.81
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525651,"Gemerska Horka","Gemerska Horka 01",1017,433,42.57,433,100,0,0,410,94.68,4,.97,3,75,3,.73,3,100,12,2.92,11,91.66,0,0,0,0,0,0,0,0,2,.48,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,46.34,184,96.84,13,3.17,13,100,0,0,0,0,1,.24,1,100,0,0,0,0,41,10,33,80.48,1,.24,1,100,2,.48,1,50,24,5.85,24,100,2,.48,2,100,105,25.6,98,93.33,0,0,0,0,10,2.43,7,70
8,"Kosicky kraj",804,"Roznava",808,"Roznava",514748,"Gemerska Panica","Gemerska Panica 01",531,272,51.22,271,99.63,1,.36,260,95.58,4,1.53,4,100,0,0,0,0,7,2.69,7,100,3,1.15,3,100,0,0,0,0,12,4.61,12,100,0,0,0,0,0,0,0,0,2,.76,2,100,0,0,0,0,95,36.53,95,100,7,2.69,7,100,0,0,0,0,1,.38,1,100,0,0,0,0,48,18.46,48,100,0,0,0,0,1,.38,0,0,4,1.53,4,100,10,3.84,2,20,57,21.92,57,100,0,0,0,0,9,3.46,9,100
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525669,"Gemerska Poloma","Gemerska Poloma 01",787,412,52.35,410,99.51,2,.48,406,98.54,4,.98,4,100,0,0,0,0,27,6.65,24,88.88,0,0,0,0,0,0,0,0,15,3.69,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.2,10,76.92,69,16.99,50,72.46,0,0,0,0,9,2.21,3,33.33,4,.98,4,100,161,39.65,124,77.01,6,1.47,5,83.33,4,.98,4,100,43,10.59,32,74.41,18,4.43,10,55.55,2,.49,2,100,0,0,0,0,31,7.63,15,48.38
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525669,"Gemerska Poloma","Gemerska Poloma 02",797,411,51.56,406,98.78,5,1.21,401,97.56,5,1.24,1,20,2,.49,0,0,37,9.22,23,62.16,2,.49,2,100,1,.24,0,0,18,4.48,15,83.33,1,.24,0,0,0,0,0,0,1,.24,1,100,0,0,0,0,18,4.48,16,88.88,69,17.2,57,82.6,1,.24,0,0,4,.99,2,50,0,0,0,0,124,30.92,83,66.93,6,1.49,3,50,2,.49,2,100,48,11.97,31,64.58,19,4.73,14,73.68,2,.49,1,50,6,1.49,6,100,35,8.72,26,74.28
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525693,"Gocaltovo","Gocaltovo 01",199,105,52.76,104,99.04,1,.95,103,98.09,7,6.79,4,57.14,0,0,0,0,7,6.79,6,85.71,0,0,0,0,0,0,0,0,7,6.79,6,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.94,1,50,14,13.59,8,57.14,0,0,0,0,0,0,0,0,0,0,0,0,39,37.86,28,71.79,1,.97,1,100,0,0,0,0,20,19.41,18,90,4,3.88,2,50,0,0,0,0,0,0,0,0,2,1.94,2,100
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525707,"Gocovo","Gocovo 01",297,213,71.71,213,100,0,0,211,99.06,2,.94,1,50,1,.47,1,100,8,3.79,7,87.5,0,0,0,0,0,0,0,0,13,6.16,11,84.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.31,6,85.71,88,41.7,83,94.31,0,0,0,0,5,2.36,3,60,0,0,0,0,44,20.85,27,61.36,0,0,0,0,1,.47,0,0,13,6.16,10,76.92,12,5.68,10,83.33,2,.94,0,0,0,0,0,0,15,7.1,11,73.33
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525715,"Hankova","Hankova 01",55,37,67.27,37,100,0,0,36,97.29,2,5.55,2,100,1,2.77,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.77,1,100,4,11.11,4,100,0,0,0,0,0,0,0,0,1,2.77,1,100,19,52.77,19,100,1,2.77,1,100,0,0,0,0,3,8.33,2,66.66,1,2.77,0,0,0,0,0,0,1,2.77,1,100,2,5.55,1,50
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525723,"Henckovce","Henckovce 01",329,180,54.71,179,99.44,1,.55,177,98.33,3,1.69,3,100,2,1.12,2,100,26,14.68,19,73.07,2,1.12,2,100,0,0,0,0,1,.56,1,100,1,.56,1,100,0,0,0,0,0,0,0,0,0,0,0,0,3,1.69,3,100,37,20.9,25,67.56,0,0,0,0,6,3.38,6,100,1,.56,0,0,64,36.15,43,67.18,1,.56,1,100,0,0,0,0,15,8.47,13,86.66,3,1.69,3,100,0,0,0,0,0,0,0,0,12,6.77,9,75
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525731,"Honce","Honce 01",311,188,60.45,186,98.93,2,1.06,183,97.34,4,2.18,4,100,1,.54,1,100,15,8.19,15,100,0,0,0,0,1,.54,1,100,20,10.92,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.27,6,100,18,9.83,18,100,0,0,0,0,3,1.63,3,100,1,.54,1,100,69,37.7,69,100,0,0,0,0,3,1.63,3,100,13,7.1,13,100,8,4.37,8,100,2,1.09,1,50,0,0,0,0,19,10.38,19,100
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525740,"Hrhov","Hrhov 01",931,496,53.27,493,99.39,3,.6,493,99.39,4,.81,4,100,0,0,0,0,14,2.83,10,71.42,0,0,0,0,0,0,0,0,8,1.62,7,87.5,0,0,0,0,0,0,0,0,2,.4,2,100,0,0,0,0,122,24.74,93,76.22,2,.4,2,100,0,0,0,0,4,.81,3,75,1,.2,1,100,22,4.46,20,90.9,1,.2,1,100,3,.6,2,66.66,19,3.85,18,94.73,9,1.82,9,100,277,56.18,225,81.22,0,0,0,0,5,1.01,3,60
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525758,"Hrusov","Hrusov 01",280,169,60.35,169,100,0,0,169,100,7,4.14,7,100,2,1.18,2,100,5,2.95,4,80,0,0,0,0,0,0,0,0,2,1.18,2,100,0,0,0,0,0,0,0,0,4,2.36,4,100,0,0,0,0,43,25.44,40,93.02,2,1.18,2,100,3,1.77,2,66.66,1,.59,0,0,0,0,0,0,9,5.32,6,66.66,2,1.18,2,100,0,0,0,0,4,2.36,4,100,5,2.95,3,60,78,46.15,60,76.92,0,0,0,0,2,1.18,1,50
8,"Kosicky kraj",804,"Roznava",808,"Roznava",525782,"Jablonov nad Turnou","Jablonov nad Turnou 01",663,442,66.66,441,99.77,1,.22,436,98.64,0,0,0,0,0,0,0,0,20,4.58,20,100,0,0,0,0,0,0,0,0,12,2.75,12,100,1,.22,1,100,0,0,0,0,2,.45,2,100,0,0,0,0,167,38.3,167,100,6,1.37,6,100,0,0,0,0,1,.22,0,0,1,.22,1,100,9,2.06,9,100,0,0,0,0,3,.68,3,100,21,4.81,21,100,3,.68,0,0,183,41.97,183,100,0,0,0,0,7,1.6,7,100
